# PoB2 Mac 简体中文显示词典。英文与中文以 TAB 分隔。
New	新建
Applies mods that use `while stationary` and `per / every second while stationary`	用于计算“静止时”和“静止期间每秒”的词缀效果
Are you always moving?	是否始终在移动？
Are you always on Full Life?	是否始终满血？
Are you always on Low Life?	是否始终处于低血状态？
Are you always on Full Mana?	魔力是否始终全满？
Are you always on Low Mana?	是否始终处于低魔状态？
Are you always on Full Energy Shield?	能量护盾是否始终全满？
Are you always on Low Energy Shield?	是否始终处于低能量护盾状态？
Do you always have Energy Shield?	是否始终拥有能量护盾？
Current Energy Shield percentage:	当前能量护盾百分比：
Are your Minions always on Full Life?	召唤生物是否始终满血？
Minion is always on Full Energy Shield?	召唤生物的能量护盾是否始终全满？
Have your Minions been created Recently?	近期是否创建了召唤生物？
Crits Only	仅暴击
Random element mode:	随机元素计算：
Life regen calculation mode:	生命再生计算：
Resource gain calculation mode:	资源获取计算：
Very Unlucky	极不幸
Disable EHP gain on block/suppress:	忽略格挡 / 压制回复对生命池的贡献：
Sets the EHP calc to not apply gain on block and suppress effects	计算有效生命池时忽略格挡或压制时获得回复的效果
Armour calculation mode:	护甲计算模式：
Boosted calc mode:	增幅计算模式：
Max Hit	最大击中
Don't disable items	忽略禁用装备效果
Ignore the effects of things which disable items, like Bringer of Rain	忽略会使其他装备失效的效果
Ignore the limits on jewels	忽略珠宝数量限制
Enemy Life % higher than Player?	敌人剩余生命百分比是否高于玩家？
Does the Enemy have a higher percentage of Life remaining than the player	敌人的剩余生命百分比是否高于玩家
Consumed an Ailment?	是否消耗了异常状态？
Consumed Ignite	已消耗点燃
Consumed Freeze	已消耗冻结
Consumed Shock	已消耗感电
Are you in Demon Form?	是否处于恶魔形态？
Curse Expiration	诅咒到期
Curse Replacement	诅咒被替换
Curse overlaps:	诅咒重叠次数：
Projectile Travelled through?	投射物是否穿过？
Overkill damage:	溢出伤害：
Is the enemy near you?	敌人是否在附近？
Moved 2m during Skill use?	使用技能时是否移动了 2 米？
State:	状态：
Have you Crit Recently?	近期是否造成暴击？
This also implies that your Skills have Crit Recently.	这也视为你的技能近期造成过暴击。
Have you Crit in the past 8s?	过去 8 秒内是否造成过暴击？
Have your Skills Crit Recently?	你的技能近期是否造成过暴击？
Have your Herald Skills Crit Recently?	你的捷类技能近期是否造成过暴击？
Have you dealt a Non-Crit Recently?	近期是否造成过非暴击击中？
Are you Channelling?	是否正在引导？
Channeling for # seconds:	已引导秒数：
This also implies that you are channelling	这也视为你正在引导
Have you Hit Recently with Your Weapon?	近期是否用武器击中过敌人？
Have you Killed Recently?	近期是否击败过敌人？
# of Enemies Killed Recently:	近期击败的敌人数：
This also implies that you have Killed Recently.	这也视为你近期击败过敌人。
Have you Killed in the last 3 Seconds?	过去 3 秒内是否击败过敌人？
Killed a poisoned enemy in the last 2 Seconds?	过去 2 秒内是否击败过中毒的敌人？
Killed a Shocked enemy in the last 3 Seconds?	过去 3 秒内是否击败过感电的敌人？
Have your Totems Killed Recently?	你的图腾近期是否击败过敌人？
Have your Totems Hit Recently?	你的图腾近期是否击中过敌人？
Have your Minions Killed Recently?	召唤生物近期是否击败过敌人？
Has a Minion Died Recently?	近期是否有召唤生物死亡？
# of Enemies Killed by Minions Recently:	召唤生物近期击败的敌人数：
This also implies that your Minions have Killed Recently.	这也视为召唤生物近期击败过敌人。
Have you Frozen an enemy Recently?	近期是否冻结过敌人？
Have you Chilled an enemy Recently?	近期是否使敌人冰缓？
Have you Shattered an enemy Recently?	近期是否粉碎过敌人？
Have you Ignited an enemy Recently?	近期是否点燃过敌人？
# of Ignites applied Recently:	近期施加点燃次数：
Have you Shocked an enemy Recently?	近期是否使敌人感电？
Have you Stunned an enemy Recently?	近期是否眩晕过敌人？
Have you Pinned an enemy Recently?	近期是否定身过敌人？
# of Poisons applied Recently:	近期施加中毒次数：
# of Life spent Recently:	近期消耗的生命：
# of Life spent in past 8s:	过去 8 秒内消耗的生命：
# of Mana spent Recently:	近期消耗的魔力：
# of times Stunned Recently:	近期被眩晕次数：
Currently Shapeshifted?	当前是否处于变身状态？
Shapeshifted to animal recently?	近期是否变身为动物？
Shapeshifted to human recently?	近期是否恢复人形？
Are you in dodge roll?	是否正在翻滚？
Have you been Hit Recently?	近期是否被击中？
# of times you have been Hit Recently:	近期被击中次数：
Have you been Hit by an Attack Recently?	近期是否被攻击击中？
Have you been Crit Recently?	近期是否被暴击？
Gained a Power Charge Recently?	近期是否获得过暴击球？
Gained a Frenzy Charge Recently?	近期是否获得过狂怒球？
Have you taken a Savage Hit Recently?	近期是否受到过残暴打击？
This also implies that you have been Hit Recently.	这也视为你近期被击中过。
Have you been hit by Fire Recently?	近期是否受到过火焰击中？
Have you been hit by Cold Recently?	近期是否受到过冰霜击中？
Have you been hit by Light. Recently?	近期是否受到过闪电击中？
Have you taken Spell Damage Recently?	近期是否受到过法术伤害？
Have you Blocked Recently?	近期是否格挡过？
Have you Active Blocked Recently?	近期是否主动格挡过？
Have you Blocked an Attack Recently?	近期是否格挡过攻击？
This also implies that you have Blocked Recently.	这也视为你近期格挡过。
Have you Blocked a Spell Recently?	近期是否格挡过法术？
Have you Parried Recently?	近期是否招架过？
Have you Dodge Rolled Recently?	近期是否翻滚过？
Energy Shield Recharge started Recently?	近期是否开始过能量护盾充能？
ES Recharge started past 2 seconds?	过去 2 秒内是否开始过护盾充能？
Have you stopped taking DoT recently?	近期是否停止承受持续伤害？
Area of Effect	范围效果
Highest damage type Override:	最高伤害类型覆盖：
Determines whether modifiers that depend on the highest damage type apply.	决定依赖最高伤害类型的词缀是否生效。
Have you used a Skill Recently?	近期是否使用过技能？
# of Skills Used Recently:	近期使用技能次数：
Have you Attacked Recently?	近期是否进行过攻击？
Have you Cast a Spell Recently?	近期是否施放过法术？
# of Non-Instant Spells Cast Recently:	近期施放非瞬发法术次数：
Only the number of different spells you cast count	仅计算施放过的不同法术数量
# of Recently Applied Ailments:	近期施加的异常状态数量：
Number of recently applied ailments	近期施加的异常状态数量
Have you Cast a Spell in the last second?	过去 1 秒内是否施放过法术？
How many spells cast in the last 8 seconds?	过去 8 秒内施放了多少次法术？
Only non-instant spells you cast count	仅计算你施放的非瞬发法术
Have you used a Fire Skill Recently?	近期是否使用过火焰技能？
This also implies that you have used a Skill Recently.	这也视为你近期使用过技能。
Have you used a Cold Skill Recently?	近期是否使用过冰霜技能？
Have you used a Minion Skill Recently?	近期是否使用过召唤生物技能？
Have you used a Travel Skill Recently?	近期是否使用过旅行技能？
Have you used a Movement Skill Recently?	近期是否使用过移动技能？
Have you used a Warcry Recently?	近期是否使用过战吼？
# of Warcries Used Recently:	近期使用战吼次数：
Used a Warcry in the past 8 seconds?	过去 8 秒内是否使用过战吼？
Have you Triggered a skill Recently?	近期是否触发过技能？
Have you Cursed an enemy Recently?	近期是否诅咒过敌人？
Have you used a Mark Recently?	近期是否使用过印记？
Spawned a corpse Recently?	近期是否生成过尸体？
Consumed a corpse Recently?	近期是否消耗过尸体？
Consumed a corpse in the past 2s?	过去 2 秒内是否消耗过尸体？
# of Corpses Consumed Recently:	近期消耗尸体数量：
Taunted an enemy Recently?	近期是否嘲讽过敌人？
Have you Reloaded Recently?	近期是否装填过？
Killed a Rare or Unique enemy Recently?	近期是否击败过稀有或传奇敌人？
Do your hits always Stun?	你的击中是否必定造成眩晕？
Do your hits always Heavy Stun?	你的击中是否必定造成重度眩晕？
# of times Skill has Forked:	技能分裂次数：
# of times Skill has Chained:	技能连锁次数：
# of times Skill has Pierced:	技能穿透次数：
Is the enemy at Close Range?	敌人是否位于近距离？
Enemy in Your Presence Duration	敌人处于你影响范围内的时间
Number of seconds the enemy has been in your presence.	敌人处于你影响范围内的秒数。
Enemy exited Presence Recently?	敌人近期是否离开过你的影响范围？
Enemy entered Presence Recently?	敌人近期是否进入过你的影响范围？
Is the enemy Moving?	敌人是否正在移动？
Is the Bleed Aggravated?	流血是否被加剧？
Is enemy Armour Broken?	敌人是否已破甲？
# of Broken Armour (if not maximum):	破甲数值（非最大值时）：
Is the enemy Cursed?	敌人是否被诅咒？
Is the enemy Stunned?	敌人是否被眩晕？
Is the enemy Heavy Stunned?	敌人是否处于重度眩晕？
This also implies that the enemy is stunned.	这也视为敌人已被眩晕。
# of Bleeds on enemy (if not average):	敌人流血层数（非平均值时）：
# of Poisons on enemy (if not average):	敌人中毒层数（非平均值时）：
# of Withered Stacks:	凋零层数：
Is the enemy Hindered?	敌人是否被阻碍？
Effect of Blind (if not maximum):	致盲效果（非最大值时）：
If you have a guaranteed source of Blind, the strongest one will apply.	若有必定致盲的来源，则采用最强的效果。
Is the enemy Taunted?	敌人是否被嘲讽？
Is the enemy Debilitated?	敌人是否被削弱？
Is the enemy Immobilised?	敌人是否无法移动？
Is the enemy Burning?	敌人是否在燃烧？
This also implies that the enemy is Burning.	这也视为敌人正在燃烧。
# of Ignites on enemy (if not average):	敌人点燃层数（非平均值时）：
Seconds of chill on enemy?	敌人已被冰缓多少秒？
Chill Stacks	冰缓层数
Is the enemy Chilled by your Hits?	敌人是否被你的击中冰缓？
Seconds of freeze on enemy?	敌人已被冻结多少秒？
Is the enemy on Chilled Ground?	敌人是否位于冰缓地面？
This also implies that the enemy is Chilled.	这也视为敌人已被冰缓。
Effect of Shock (if not maximum):	感电效果（非最大值时）：
Shock Stacks	感电层数
Is the enemy Electrocuted?	敌人是否被电刑？
Is the enemy on Shocked Ground?	敌人是否位于感电地面？
This also implies that the enemy is Shocked.	这也视为敌人已被感电。
# of Freeze / Shock / Ignite on enemy:	敌人冻结 / 感电 / 点燃总数：
Is the enemy Exposed to Fire?	敌人是否受到火焰曝露？
Is the enemy Exposed to Cold?	敌人是否受到冰霜曝露？
Is the enemy Exposed to Lightning?	敌人是否受到闪电曝露？
Is the enemy Isolated?	敌人是否孤立？
Is the enemy on Consecrated Ground?	敌人是否位于奉献地面？
Does the enemy have Energy Shield?	敌人是否拥有能量护盾？
Enemy was Hit by Fire Damage?	敌人是否受到过火焰伤害击中？
Enemy was Hit by Cold Damage?	敌人是否受到过冰霜伤害击中？
Enemy was Hit by Light. Damage?	敌人是否受到过闪电伤害击中？
Is the enemy Rare?	敌人是否为稀有怪物？
20% Delirious	20% 惊悸迷雾
40% Delirious	40% 惊悸迷雾
60% Delirious	60% 惊悸迷雾
80% Delirious	80% 惊悸迷雾
100% Delirious	100% 惊悸迷雾
Enemy Base Evasion:	敌人基础闪避值：
Enemy Skill Roll Range %:	敌人技能伤害浮动百分比：
Projectile Spell	投射物法术
Enemy Skill Lightning Damage:	敌人技能闪电伤害：
Enemy Skill Lightning Pen:	敌人技能闪电穿透：
Enemy Skill Cold Damage:	敌人技能冰霜伤害：
Enemy Skill Cold Pen:	敌人技能冰霜穿透：
Enemy Skill Fire Damage:	敌人技能火焰伤害：
Enemy Skill Fire Pen:	敌人技能火焰穿透：
Enemy Skill Chaos Damage:	敌人技能混沌伤害：
To import a build it must be exported with "Export support" enabled in the import/export tab	要导入配装，导出时须在“导入 / 导出”页勾选“导出辅助配置”
Auras with	同类光环同时存在时，
the highest effect will take priority, your curses will take priority over a support's	采用最强效果；你的诅咒优先于辅助队友的诅咒
All of	上述全部
these effects can be found in the Calcs tab	效果均可在“计算”页查看
Enable buffs:	启用增益：
Enable curses:	启用诅咒：
Linked To Minion?	是否链接至召唤生物？
Total Spectre Life override:	灵体总生命覆盖值：
Total Totem Life:	图腾总生命：
Total Companion Life override:	伙伴总生命覆盖值：
# of Power Charges (if not maximum):	暴击球数量（非上限时）：
# of Frenzy Charges (if not maximum):	狂怒球数量（非上限时）：
# of Endurance Charges (if not maximum):	耐力球数量（非上限时）：
Do your Minions use Power Charges?	召唤生物是否使用暴击球？
Do your Minions use Frenzy Charges?	召唤生物是否使用狂怒球？
Do your Minions use Endur. Charges?	召唤生物是否使用耐力球？
Do your minions have Onslaught?	召唤生物是否拥有猛攻？
Do your minions have Unholy Might?	召唤生物是否拥有不洁之力？
Do your minions have Chaotic Might?	召唤生物是否拥有混沌之力？
Are you Leeching Life?	是否正在偷取生命？
Are you Leeching Energy Shield?	是否正在偷取能量护盾？
Are you Leeching Mana?	是否正在偷取魔力？
Minion is Leeching Energy Shield?	召唤生物是否正在偷取能量护盾？
Do you have a Flask active?	是否有生效中的药剂？
Are you out of Life Flask uses?	生命药剂是否已无法使用？
Do you have a Totem summoned?	是否已召唤图腾？
Have you Summoned a Totem Recently?	近期是否召唤过图腾？
# of Summoned Totems (if not maximum):	已召唤图腾数量（非上限时）：
# of Summoned Minions (if not maximum):	召唤生物数量（非上限时）：
# of Minions in your Presence:	你影响范围内的召唤生物数量：
Are you Immune to Curses?	是否免疫诅咒？
Have you Hit Recently?	近期是否击中过敌人？
Have you Hit with a Spell Recently?	近期是否用法术击中过敌人？
Have you Melee Hit Recently?	近期是否用近战击中过敌人？
Have you Hit with a Proj. Att. Recently?	近期是否用投射物攻击击中过敌人？
Killed a taunted enemy recently?	近期是否击败过被嘲讽的敌人？
No summoned Totems in the past 2 seconds?	过去 2 秒内是否未召唤图腾？
Have your Totems Hit with a Spell Recently?	图腾近期是否用法术击中过敌人？
# of Enemies Killed by Totems Recently:	图腾近期击败的敌人数：
Killed enemy affected by your DoT Recently?	近期是否击败过受到你持续伤害的敌人？
# of Shocked Enemies Killed Recently:	近期击败的感电敌人数：
# of Non-Shocked Enemies Shocked  Recently:	近期由未感电变为感电的敌人数：
Taken Fire Damage from enemy Hit Recently?	近期是否受到过敌人击中的火焰伤害？
Stunned while Casting Recently?	近期是否在施法时被眩晕？
Have you Suppressed Recently?	近期是否压制过法术？
# of Hits Suppressed Recently:	近期压制的击中次数：
# of seconds Affected by a Warcry Buff:	受到战吼增益的秒数：
Lost an Endurance Charge in the past 8s?	过去 8 秒内是否失去过耐力球？
# of Endurance Charges lost Recently:	近期失去的耐力球数量：
Impaled an enemy recently?	近期是否穿刺过敌人？
#% of Curse Expired on enemy:	敌人诅咒持续时间已过百分比：
Curse Duration Expired on enemy:	敌人诅咒持续时间已过秒数：
Totem Damage	图腾伤害
Brand Damage	烙印伤害
Channelling Damage	引导伤害
Area Damage	范围伤害
Elemental Resistances	元素抗性
Effect of non-Damaging Ailments	非伤害型异常状态效果
Elemental Ailment Duration	元素异常状态持续时间
Duration of Curses	诅咒持续时间
Minion Attack and Cast Speed	召唤生物攻击与施法速度
Minions Accuracy Rating	召唤生物命中值
Skill Cost	技能消耗
Non-Curse Aura Effect	非诅咒光环效果
Defences from Shield	来自盾牌的防御

# v0.6.2: actual player/minion comparison labels and comparison headings
%Inc Armour from Tree	天赋树护甲提高百分比
%Inc ES from Tree	天赋树能量护盾提高百分比
%Inc Evasion from Tree	天赋树闪避提高百分比
%Inc Mana from Tree	天赋树魔力提高百分比
Activations per Brand	每个烙印的激活次数
Active Minion Limit	激活的召唤生物上限
AoE Radius	效果范围半径
Attachment Range	附着范围
Attack Dodge Chance	攻击躲避几率
Avg. Mines per Throw	每次投掷的平均地雷数量
Avg. Traps per Throw	每次投掷的平均陷阱数量
Burning Ground DPS	燃烧地面 DPS
Cast Time	施法时间
Caustic Ground DPS	腐蚀地面 DPS
Channel Time	持续吟唱时间
Chaos Res. Over Max	超出上限的混沌抗性
Cold Max Hit	最大承受冰霜击中
Cold Res. Over Max	超出上限的冰霜抗性
Combined Total Damage	综合总伤害
Corrupting Blood DPS	腐化之血 DPS
Crit Bifurcate Chance	暴击双重分叉几率
Culling DPS	终结等效 DPS
Damage inc. Impale	含穿刺的伤害
Decay DPS	腐蚀 DPS
Devotion	奉献
Dexterity Required	敏捷需求
ES Cost per second	每秒能量护盾消耗
ES Leech/Gain per Hit	每次击中偷取／获得的能量护盾
ES Leech/On Hit Rate	能量护盾偷取／击中回复速率
ES Recovery	能量护盾回复
Effective Trigger Rate	有效触发频率
Enemy Life Equivalent	相当于敌人生命的百分比
Energy Shield Cost	能量护盾消耗
Fire Max Hit	最大承受火焰击中
Fire Res. Over Max	超出上限的火焰抗性
Firing Rate	射击频率
Full Dot DPS	全部持续伤害 DPS
Hit Rate	击中频率
Impale DPS	穿刺 DPS
Impale Damage	穿刺伤害
Intelligence Required	智慧需求
Life Cost per second	每秒生命消耗
Life Leech/Gain per Hit	每次击中偷取／获得的生命
Life Leech/On Hit Rate	生命偷取／击中回复速率
Life Recoverable	可回复生命
Lightning Max Hit	最大承受闪电击中
Lightning Res. Over Max	超出上限的闪电抗性
MH Accuracy	主手命中值
Mana Cost per second	每秒魔力消耗
Mana Leech/Gain per Hit	每次击中偷取／获得的魔力
Mana Leech/On Hit Rate	魔力偷取／击中回复速率
Max Number of Seals	封印数量上限
Melee Evade Chance	近战闪避几率
Mine Throwing Time	地雷投掷时间
Mirage Burning Ground DPS	幻影燃烧地面 DPS
Mirage Caustic Ground DPS	幻影腐蚀地面 DPS
Net ES Recovery	净能量护盾回复
Net Life Recovery	净生命回复
Net Mana Recovery	净魔力回复
OH Accuracy	副手命中值
Projectile Evade Chance	投射物闪避几率
PvP Average Damage	PvP 平均伤害
PvP Average Hit	PvP 平均击中伤害
PvP Hit DPS	PvP 击中 DPS
PvP Hit Taken	PvP 承受的击中伤害
Rage Cost	怒火消耗
Rage Cost per second	每秒怒火消耗
Rage Regen	怒火再生
Recoverable ES	可回复能量护盾
Reload Time	装填时间
Reservation DPS	保留等效 DPS
Reserved Darkness	已保留的黑暗
Seal Gain Frequency	封印获取频率
Skill Cooldown	技能冷却时间
Skill Movement Speed	使用技能时的移动速度
Soul Cost	灵魂消耗
Spell Dodge Chance	法术躲避几率
Spell Evade Chance	法术闪避几率
Spell Proj. Evade Chance	法术投射物闪避几率
Spell Suppression Chance	法术压制几率
Strength Required	力量需求
Time to Gain Max Seals	获取全部封印所需时间
Total DPS inc. Bleed	含流血的总 DPS
Total DPS inc. DoT	含持续伤害的总 DPS
Total DPS inc. Ignite	含点燃的总 DPS
Total DPS inc. Impale	含穿刺的总 DPS
Total DPS inc. Poison	含中毒的总 DPS
Total Damage per Bleed	每次流血的总伤害
Total Damage per Ignite	每次点燃的总伤害
Total Damage per Poison	每次中毒的总伤害
Total Darkness	黑暗总量
Total Degen	总持续损耗
Total Explode Chance	总爆炸几率
Total Mirage DPS	幻影总 DPS
Total Net Recovery	净回复总量
Total Wisp DPS	灵火总 DPS
Totem Placement Time	图腾放置时间
Trap Cooldown	陷阱冷却时间
Trap Throwing Time	陷阱投掷时间
Tribute	贡品
Uncap. Hit Chance	未限制上限的命中几率
Activating this flask will give you:	启用此药剂后的属性变化：
Deactivating this flask will give you:	停用此药剂后的属性变化：
Activating this charm will give you:	启用此咒符后的属性变化：
Deactivating this charm will give you:	停用此咒符后的属性变化：
Player:	玩家：
Reallocating this node will give you:	重新配置此天赋后的属性变化：
Unallocating this node will give you:	取消此天赋后的属性变化：
This node is granted by an item. Removing it will give you:	此天赋由装备赋予，移除后的属性变化：
Allocating this node will give you:	配置此天赋后的属性变化：
Unallocating this node and all nodes depending on it will give you:	取消此天赋及依赖它的所有天赋后的属性变化：
Allocating this node and all nodes leading to it will give you:	配置此天赋及路径上所有天赋后的属性变化：
This node is granted by an item. Removing it will cause no changes	此天赋由装备赋予，移除后属性不会变化
Equipping this item in	将此装备放入
Removing this item from	将此装备移出
will give you:	后的属性变化：
replacing	替换
per point	每点
